Account,Influence Score,Total Impressions,Total Engagements,Human Followers,Bot Followers,Tweets,Avg Tweet Quality,Avg Engagement Rate,Tweet Probability,Popularity Multiplier,DoNotUse
2,5.860,553684,27213,1299,10,1000,0.100,0.050,1.000,1.022,10
3,9.107,855046,42288,1956,20,1000,0.100,0.050,1.000,1.024,20
4,5.887,556181,27338,1195,30,1000,0.100,0.050,1.000,1.021,30
5,9.336,876399,43355,1936,40,1000,0.100,0.050,1.000,1.018,40
6,11.311,1059890,52523,2428,50,1000,0.100,0.050,1.000,1.029,50
7,12.766,1195021,59282,2703,60,1000,0.100,0.050,1.000,1.039,60
8,10.676,1001247,49575,2120,70,1000,0.100,0.050,1.000,1.027,70
9,14.574,1363254,67676,2893,80,1000,0.100,0.050,1.000,1.035,80
10,15.967,1492274,74146,3358,90,1000,0.100,0.050,1.000,1.043,90
1,5.531,493166,24184,1141,0,1000,0.100,0.050,1.000,1.015,0
2,6.598,586808,28850,1357,10,1000,0.100,0.050,1.000,1.023,10
3,7.447,660645,32563,1539,20,1000,0.100,0.050,1.000,1.022,20
4,7.300,647857,31919,1331,30,1000,0.100,0.050,1.000,1.025,30
5,7.945,704270,34738,1538,40,1000,0.100,0.050,1.000,1.022,40
6,10.431,921772,45608,2059,50,1000,0.100,0.050,1.000,1.029,50
7,10.777,951994,47124,2158,60,1000,0.100,0.050,1.000,1.034,60
8,13.575,1196956,59356,2785,70,1000,0.100,0.050,1.000,1.035,70
9,15.928,1402604,69647,3189,80,1000,0.100,0.050,1.000,1.035,80
10,14.468,1274702,63260,2749,90,1000,0.100,0.050,1.000,1.044,90
1,5.242,501032,24610,1135,0,1000,0.100,0.050,1.000,1.018,0
2,4.995,478367,23450,1061,10,1000,0.100,0.050,1.000,1.018,10
3,8.512,808536,39964,1735,20,1000,0.100,0.050,1.000,1.026,20
4,11.322,1072724,53160,2549,30,1000,0.100,0.050,1.000,1.039,30
5,7.241,689452,33997,1466,40,1000,0.100,0.050,1.000,1.028,40
6,9.800,929655,46014,1997,50,1000,0.100,0.050,1.000,1.027,50
7,11.376,1077921,53413,2380,60,1000,0.100,0.050,1.000,1.035,60
8,15.155,1432583,71153,3186,70,1000,0.100,0.050,1.000,1.034,70
9,12.162,1151476,57102,2494,80,1000,0.100,0.050,1.000,1.032,80
10,14.196,1342422,66651,2859,90,1000,0.100,0.050,1.000,1.042,90
1,4.834,449431,22015,1001,0,1000,0.100,0.050,1.000,1.018,0
2,6.757,624708,30773,1460,10,1000,0.100,0.050,1.000,1.020,10
3,6.394,591875,29119,1292,20,1000,0.100,0.050,1.000,1.023,20
4,6.360,588802,28967,1275,30,1000,0.100,0.050,1.000,1.019,30
5,10.416,958296,47441,2139,40,1000,0.100,0.050,1.000,1.023,40
6,10.464,962859,47657,2163,50,1000,0.100,0.050,1.000,1.028,50
7,10.212,939608,46511,2112,60,1000,0.100,0.050,1.000,1.028,60
8,14.526,1332582,66156,2926,70,1000,0.100,0.050,1.000,1.048,70
9,15.279,1401208,69587,3141,80,1000,0.100,0.050,1.000,1.034,80
10,14.758,1353578,67215,2928,90,1000,0.100,0.050,1.000,1.039,90
1,4.527,412832,20172,967,0,1000,0.100,0.050,1.000,1.017,0
2,5.313,483118,23674,1151,10,1000,0.100,0.050,1.000,1.032,10
3,9.172,826795,40867,1892,20,1000,0.100,0.050,1.000,1.026,20
4,6.966,630002,31039,1387,30,1000,0.100,0.050,1.000,1.023,30
5,9.307,839003,41469,1854,40,1000,0.100,0.050,1.000,1.023,40
6,10.167,915364,45300,2098,50,1000,0.100,0.050,1.000,1.034,50
7,11.161,1004244,49730,2273,60,1000,0.100,0.050,1.000,1.032,60
8,13.449,1207681,59923,2711,70,1000,0.100,0.050,1.000,1.034,70
9,16.218,1454772,72263,3282,80,1000,0.100,0.050,1.000,1.043,80
10,13.719,1231939,61129,2580,90,1000,0.100,0.050,1.000,1.038,90
1,5.576,494919,24273,1159,0,1000,0.100,0.050,1.000,1.018,0
2,5.147,457993,22406,1006,10,1000,0.100,0.050,1.000,1.016,10
3,6.350,562510,27644,1252,20,1000,0.100,0.050,1.000,1.022,20
4,7.503,662773,32665,1413,30,1000,0.100,0.050,1.000,1.027,30
5,7.843,692337,34145,1458,40,1000,0.100,0.050,1.000,1.024,40
6,7.990,705005,34786,1509,50,1000,0.100,0.050,1.000,1.023,50
7,14.628,1283155,63685,2963,60,1000,0.100,0.050,1.000,1.048,60
8,12.594,1105748,54828,2425,70,1000,0.100,0.050,1.000,1.035,70
9,15.471,1356218,67352,3249,80,1000,0.100,0.050,1.000,1.034,80
10,16.898,1480892,73565,3407,90,1000,0.100,0.050,1.000,1.046,90
1,4.915,458447,22450,1070,0,1000,0.100,0.050,1.000,1.021,0
2,5.096,474752,23277,1042,10,1000,0.100,0.050,1.000,1.019,10
3,7.329,679002,33478,1503,20,1000,0.100,0.050,1.000,1.028,20
4,7.080,656255,32339,1441,30,1000,0.100,0.050,1.000,1.020,30
5,8.832,816515,40340,1769,40,1000,0.100,0.050,1.000,1.027,40
6,11.543,1064016,52723,2377,50,1000,0.100,0.050,1.000,1.032,50
7,13.036,1200240,59543,2635,60,1000,0.100,0.050,1.000,1.032,60
8,11.409,1051858,52114,2270,70,1000,0.100,0.050,1.000,1.037,70
9,13.020,1198684,59469,2646,80,1000,0.100,0.050,1.000,1.032,80
10,17.740,1630164,81027,3732,90,1000,0.100,0.050,1.000,1.043,90
1,3.976,371085,18079,795,0,1000,0.100,0.050,1.000,1.015,0
2,6.201,573515,28194,1270,10,1000,0.100,0.050,1.000,1.020,10
3,7.421,684187,33739,1573,20,1000,0.100,0.050,1.000,1.028,20
4,7.375,680094,33533,1518,30,1000,0.100,0.050,1.000,1.024,30
5,9.009,828627,40962,1986,40,1000,0.100,0.050,1.000,1.033,40
6,8.680,799019,39463,1651,50,1000,0.100,0.050,1.000,1.026,50
7,11.710,1073873,53241,2248,60,1000,0.100,0.050,1.000,1.034,60
8,14.328,1312335,65142,3049,70,1000,0.100,0.050,1.000,1.042,70
9,15.839,1449840,72012,3212,80,1000,0.100,0.050,1.000,1.036,80
10,15.462,1415448,70299,3129,90,1000,0.100,0.050,1.000,1.046,90
1,5.668,529367,25998,1290,0,1000,0.100,0.050,1.000,1.020,0
2,5.591,522467,25646,1161,10,1000,0.100,0.050,1.000,1.020,10
3,6.535,608851,29974,1318,20,1000,0.100,0.050,1.000,1.025,20
4,7.787,723667,35716,1571,30,1000,0.100,0.050,1.000,1.029,30
5,7.763,721819,35606,1505,40,1000,0.100,0.050,1.000,1.027,40
6,13.270,1226715,60866,2880,50,1000,0.100,0.050,1.000,1.036,50
7,9.344,866805,42859,1739,60,1000,0.100,0.050,1.000,1.029,60
8,14.930,1379293,68481,3148,70,1000,0.100,0.050,1.000,1.035,70
9,12.940,1196587,59353,2663,80,1000,0.100,0.050,1.000,1.039,80
10,16.174,1493552,74189,3510,90,1000,0.100,0.050,1.000,1.042,90
1,4.907,405478,19806,902,0,1000,0.100,0.050,1.000,1.018,0
2,6.556,538805,26461,1203,10,1000,0.100,0.050,1.000,1.021,10
3,5.997,493503,24203,1161,20,1000,0.100,0.050,1.000,1.017,20
4,8.555,700076,34527,1575,30,1000,0.100,0.050,1.000,1.029,30
5,10.339,844091,41730,1850,40,1000,0.100,0.050,1.000,1.026,40
6,12.129,988192,48956,2180,50,1000,0.100,0.050,1.000,1.029,50
7,10.195,832595,41149,1678,60,1000,0.100,0.050,1.000,1.021,60
8,12.088,985295,48787,2128,70,1000,0.100,0.050,1.000,1.032,70
9,15.446,1256469,62341,2756,80,1000,0.100,0.050,1.000,1.029,80
10,13.788,1122339,55652,2386,90,1000,0.100,0.050,1.000,1.035,90
1,5.085,436357,21350,1014,0,1000,0.100,0.050,1.000,1.025,0
2,5.199,445919,21829,1003,10,1000,0.100,0.050,1.000,1.023,10
3,6.827,582682,28665,1327,20,1000,0.100,0.050,1.000,1.017,20
4,8.427,716889,35381,1647,30,1000,0.100,0.050,1.000,1.026,30
5,6.999,596943,29387,1243,40,1000,0.100,0.050,1.000,1.023,40
6,11.711,992714,49170,2235,50,1000,0.100,0.050,1.000,1.037,50
7,14.737,1246924,61878,2883,60,1000,0.100,0.050,1.000,1.034,60
8,13.340,1129765,56011,2415,70,1000,0.100,0.050,1.000,1.032,70
9,13.761,1165092,57777,2398,80,1000,0.100,0.050,1.000,1.041,80
10,13.915,1177934,58424,2517,90,1000,0.100,0.050,1.000,1.029,90
1,3.999,344706,16780,748,0,1000,0.100,0.050,1.000,1.016,0
2,6.372,544489,26734,1238,10,1000,0.100,0.050,1.000,1.024,10
3,8.548,726850,35865,1753,20,1000,0.100,0.050,1.000,1.031,20
4,8.066,686108,33845,1506,30,1000,0.100,0.050,1.000,1.023,30
5,8.996,764397,37744,1716,40,1000,0.100,0.050,1.000,1.023,40
