Account,Influence Score,Total Impressions,Total Engagements,Human Followers,Bot Followers,Tweets,Avg Tweet Quality,Avg Engagement Rate,Tweet Probability,Popularity Multiplier,DoNotUse
1,0.587,428014,20926,966,0,1000,0.100,0.050,1.000,1.015,0
2,2.078,1490370,74051,3237,100,1000,0.100,0.050,1.000,1.043,100
3,4.445,3177216,158378,7278,200,1000,0.100,0.050,1.000,1.084,200
4,7.534,5378330,268440,12592,300,1000,0.100,0.050,1.000,1.145,300
5,8.343,5955081,297279,13739,400,1000,0.100,0.050,1.000,1.155,400
6,10.844,7736896,386367,17763,500,1000,0.100,0.050,1.000,1.170,500
7,12.660,9030834,451087,20912,600,1000,0.100,0.050,1.000,1.219,600
8,15.695,11193898,559219,26557,700,1000,0.100,0.050,1.000,1.298,700
9,17.320,12351960,617110,29894,800,1000,0.100,0.050,1.000,1.276,800
10,20.493,14612951,730163,37097,900,1000,0.100,0.050,1.000,1.374,900
1,0.482,337506,16411,748,0,1000,0.100,0.050,1.000,1.017,0
2,2.475,1695356,84282,3849,100,1000,0.100,0.050,1.000,1.051,100
3,3.186,2179014,108480,4720,200,1000,0.100,0.050,1.000,1.051,200
4,7.689,5245926,261808,12265,300,1000,0.100,0.050,1.000,1.140,300
5,7.980,5444412,271745,11848,400,1000,0.100,0.050,1.000,1.140,400
6,11.732,7998988,399479,19001,500,1000,0.100,0.050,1.000,1.201,500
7,11.099,7568574,377940,17455,600,1000,0.100,0.050,1.000,1.190,600
8,16.125,10991460,549091,25880,700,1000,0.100,0.050,1.000,1.275,700
9,17.386,11849623,592005,27983,800,1000,0.100,0.050,1.000,1.277,800
10,21.847,14887744,743909,37350,900,1000,0.100,0.050,1.000,1.397,900
1,0.554,420005,20531,977,0,1000,0.100,0.050,1.000,1.016,0
2,1.926,1438265,71428,3188,100,1000,0.100,0.050,1.000,1.053,100
3,3.848,2864042,142739,6583,200,1000,0.100,0.050,1.000,1.058,200
4,5.455,4055958,202330,8920,300,1000,0.100,0.050,1.000,1.102,300
5,7.590,5640572,281536,12592,400,1000,0.100,0.050,1.000,1.145,400
6,10.995,8165949,407819,18934,500,1000,0.100,0.050,1.000,1.202,500
7,11.710,8696446,434348,19662,600,1000,0.100,0.050,1.000,1.186,600
8,16.731,12421048,620569,29978,700,1000,0.100,0.050,1.000,1.303,700
9,12.356,9175081,458289,19737,800,1000,0.100,0.050,1.000,1.190,800
10,28.835,21400634,1069544,56751,900,1000,0.100,0.050,1.000,1.597,900
1,0.559,395563,19301,899,0,1000,0.100,0.050,1.000,1.018,0
2,1.825,1269462,63003,2591,100,1000,0.100,0.050,1.000,1.044,100
3,5.258,3639490,181518,8466,200,1000,0.100,0.050,1.000,1.102,200
4,8.092,5596071,279332,13196,300,1000,0.100,0.050,1.000,1.154,300
5,8.809,6091423,304101,13643,400,1000,0.100,0.050,1.000,1.147,400
6,10.183,7040058,351537,16118,500,1000,0.100,0.050,1.000,1.172,500
7,13.466,9306306,464852,22113,600,1000,0.100,0.050,1.000,1.186,600
8,16.057,11095927,554313,26875,700,1000,0.100,0.050,1.000,1.273,700
9,16.276,11246795,561858,25806,800,1000,0.100,0.050,1.000,1.270,800
10,19.476,13456302,672338,30634,900,1000,0.100,0.050,1.000,1.304,900
1,0.585,415107,20288,923,0,1000,0.100,0.050,1.000,1.016,0
2,2.132,1488783,73966,3554,100,1000,0.100,0.050,1.000,1.054,100
3,4.569,3179991,158523,7556,200,1000,0.100,0.050,1.000,1.095,200
4,5.786,4024989,200772,8986,300,1000,0.100,0.050,1.000,1.107,300
5,7.272,5055590,252310,11468,400,1000,0.100,0.050,1.000,1.140,400
6,12.280,8530871,426068,20488,500,1000,0.100,0.050,1.000,1.233,500
7,14.719,10223941,510709,24485,600,1000,0.100,0.050,1.000,1.244,600
8,13.205,9173198,458187,20977,700,1000,0.100,0.050,1.000,1.221,700
9,19.790,13742749,686651,33227,800,1000,0.100,0.050,1.000,1.362,800
10,19.662,13654156,682211,32910,900,1000,0.100,0.050,1.000,1.353,900
1,0.490,360552,17567,852,0,1000,0.100,0.050,1.000,1.013,0
2,2.317,1670906,83077,3933,100,1000,0.100,0.050,1.000,1.048,100
3,3.672,2642565,131648,5550,200,1000,0.100,0.050,1.000,1.054,200
4,5.201,3738739,186450,8224,300,1000,0.100,0.050,1.000,1.095,300
5,8.186,5878110,293449,13415,400,1000,0.100,0.050,1.000,1.140,400
6,9.434,6773321,338197,15282,500,1000,0.100,0.050,1.000,1.176,500
7,11.410,8190172,409033,17777,600,1000,0.100,0.050,1.000,1.195,600
8,11.460,8226632,410843,18633,700,1000,0.100,0.050,1.000,1.182,700
9,20.759,14893397,744201,36726,800,1000,0.100,0.050,1.000,1.360,800
10,27.071,19419232,970491,51461,900,1000,0.100,0.050,1.000,1.528,900
1,0.501,325976,15820,692,0,1000,0.100,0.050,1.000,1.014,0
2,2.104,1339718,66517,2730,100,1000,0.100,0.050,1.000,1.043,100
3,5.378,3409082,169985,7694,200,1000,0.100,0.050,1.000,1.087,200
4,6.315,4002103,199616,8497,300,1000,0.100,0.050,1.000,1.088,300
5,8.398,5318385,265431,11995,400,1000,0.100,0.050,1.000,1.112,400
6,11.031,6982359,348651,16167,500,1000,0.100,0.050,1.000,1.170,500
7,11.248,7119346,355506,15853,600,1000,0.100,0.050,1.000,1.180,600
8,14.377,9097409,454415,20589,700,1000,0.100,0.050,1.000,1.235,700
9,14.760,9340161,466526,21447,800,1000,0.100,0.050,1.000,1.229,800
10,25.889,16375162,818272,39435,900,1000,0.100,0.050,1.000,1.398,900
1,0.576,419934,20525,935,0,1000,0.100,0.050,1.000,1.016,0
2,1.787,1282160,63647,2750,100,1000,0.100,0.050,1.000,1.045,100
3,4.422,3159003,157485,7233,200,1000,0.100,0.050,1.000,1.076,200
4,5.419,3869242,192987,8413,300,1000,0.100,0.050,1.000,1.103,300
5,7.677,5477297,273384,12531,400,1000,0.100,0.050,1.000,1.149,400
6,9.045,6451263,322104,14139,500,1000,0.100,0.050,1.000,1.134,500
7,16.833,11998575,599459,30548,600,1000,0.100,0.050,1.000,1.296,600
8,15.415,10989126,548966,25934,700,1000,0.100,0.050,1.000,1.300,700
9,16.537,11787973,588917,27994,800,1000,0.100,0.050,1.000,1.309,800
10,22.287,15883195,793675,40195,900,1000,0.100,0.050,1.000,1.389,900
1,0.585,412066,20131,914,0,1000,0.100,0.050,1.000,1.014,0
2,1.973,1367490,67890,2919,100,1000,0.100,0.050,1.000,1.038,100
3,4.385,3026279,150861,6733,200,1000,0.100,0.050,1.000,1.082,200
4,7.735,5332449,266136,12165,300,1000,0.100,0.050,1.000,1.133,300
5,7.238,4989862,249023,11287,400,1000,0.100,0.050,1.000,1.115,400
6,9.278,6393267,319212,14008,500,1000,0.100,0.050,1.000,1.154,500
7,9.288,6400362,319550,13615,600,1000,0.100,0.050,1.000,1.162,600
8,17.932,12348426,616947,30425,700,1000,0.100,0.050,1.000,1.316,700
9,17.850,12291818,614121,29644,800,1000,0.100,0.050,1.000,1.334,800
10,23.737,16342905,816663,41012,900,1000,0.100,0.050,1.000,1.428,900
1,0.734,488563,23945,1164,0,1000,0.100,0.050,1.000,1.021,0
2,2.572,1687547,83897,3630,100,1000,0.100,0.050,1.000,1.043,100
3,3.731,2443321,121673,5124,200,1000,0.100,0.050,1.000,1.051,200
4,7.076,4625329,230781,10560,300,1000,0.100,0.050,1.000,1.104,300
5,8.392,5483858,273699,12389,400,1000,0.100,0.050,1.000,1.131,400
6,11.004,7187381,358903,16278,500,1000,0.100,0.050,1.000,1.181,500
7,14.071,9187971,458926,21773,600,1000,0.100,0.050,1.000,1.256,600
8,15.079,9845313,491784,23321,700,1000,0.100,0.050,1.000,1.246,700
9,19.342,12626559,630849,28433,800,1000,0.100,0.050,1.000,1.311,800
10,17.999,11750223,587032,26649,900,1000,0.100,0.050,1.000,1.285,900
1,0.556,447224,21889,1013,0,1000,0.100,0.050,1.000,1.023,0
2,1.634,1294896,64267,2815,100,1000,0.100,0.050,1.000,1.043,100
3,3.326,2626546,130860,5965,200,1000,0.100,0.050,1.000,1.059,200
4,5.446,4294893,214259,9911,300,1000,0.100,0.050,1.000,1.117,300
5,7.613,5999481,299510,13308,400,1000,0.100,0.050,1.000,1.145,400
6,8.880,6996321,349344,15795,500,1000,0.100,0.050,1.000,1.154,500
7,9.645,7598153,379427,16883,600,1000,0.100,0.050,1.000,1.156,600
8,13.563,10680360,533548,23714,700,1000,0.100,0.050,1.000,1.228,700
9,19.673,15488361,773935,39671,800,1000,0.100,0.050,1.000,1.416,800
10,29.663,23348502,1166942,62494,900,1000,0.100,0.050,1.000,1.603,900
1,0.543,401011,19578,925,0,1000,0.100,0.050,1.000,1.019,0
2,1.886,1369233,67994,3044,100,1000,0.100,0.050,1.000,1.049,100
3,3.931,2844490,141752,6514,200,1000,0.100,0.050,1.000,1.069,200
4,5.681,4106459,204847,9117,300,1000,0.100,0.050,1.000,1.099,300
5,7.666,5538321,276446,12084,400,1000,0.100,0.050,1.000,1.134,400
6,9.073,6552691,327161,15235,500,1000,0.100,0.050,1.000,1.179,500
7,11.792,8513411,425201,19595,600,1000,0.100,0.050,1.000,1.209,600
8,13.980,10091736,504113,22106,700,1000,0.100,0.050,1.000,1.209,700
9,24.075,17372315,868128,44236,800,1000,0.100,0.050,1.000,1.441,800
10,21.374,15424828,770758,38150,900,1000,0.100,0.050,1.000,1.349,900
1,0.524,365081,17784,821,0,1000,0.100,0.050,1.000,1.018,0
2,2.483,1695659,84304,3800,100,1000,0.100,0.050,1.000,1.045,100
3,4.405,3000382,149555,6538,200,1000,0.100,0.050,1.000,1.066,200
4,6.738,4584844,228771,10530,300,1000,0.100,0.050,1.000,1.123,300
5,8.592,5844078,291723,13247,400,1000,0.100,0.050,1.000,1.134,400
6,11.304,7685098,383786,17502,500,1000,0.100,0.050,1.000,1.170,500
7,11.288,7674312,383249,18003,600,1000,0.100,0.050,1.000,1.182,600
8,13.592,9238846,461455,21150,700,1000,0.100,0.050,1.000,1.209,700
9,18.309,12441928,621607,29672,800,1000,0.100,0.050,1.000,1.307,800
10,22.765,15467964,772924,37634,900,1000,0.100,0.050,1.000,1.376,900
1,0.627,423466,20714,944,0,1000,0.100,0.050,1.000,1.017,0
2,2.075,1380572,68561,3052,100,1000,0.100,0.050,1.000,1.035,100
3,5.433,3599309,179493,8262,200,1000,0.100,0.050,1.000,1.104,200
4,7.721,5111035,255073,11945,300,1000,0.100,0.050,1.000,1.144,300
5,8.365,5536266,276339,12492,400,1000,0.100,0.050,1.000,1.145,400
6,9.989,6609362,329984,14915,500,1000,0.100,0.050,1.000,1.187,500
7,11.538,7632488,381150,17468,600,1000,0.100,0.050,1.000,1.183,600
8,16.219,10725187,535787,24962,700,1000,0.100,0.050,1.000,1.283,700
9,18.560,12272300,613129,28771,800,1000,0.100,0.050,1.000,1.326,800
10,19.472,12874686,643270,31936,900,1000,0.100,0.050,1.000,1.321,900
1,0.487,357785,17416,795,0,1000,0.100,0.050,1.000,1.016,0
2,2.680,1925293,95783,4580,100,1000,0.100,0.050,1.000,1.048,100
3,3.902,2799149,139469,6346,200,1000,0.100,0.050,1.000,1.079,200
4,6.468,4633684,231189,10752,300,1000,0.100,0.050,1.000,1.114,300
5,7.500,5371496,268100,11731,400,1000,0.100,0.050,1.000,1.136,400
6,9.397,6726978,335883,15053,500,1000,0.100,0.050,1.000,1.171,500
7,12.366,8849882,442024,20140,600,1000,0.100,0.050,1.000,1.204,600
8,15.103,10807099,539875,26579,700,1000,0.100,0.050,1.000,1.275,700
