Account,Influence Score,Popularity,Bot Followers
5,7.941,1.023,4
6,6.873,1.012,5
7,10.717,1.018,6
8,10.253,1.020,7
9,15.179,1.029,8
10,12.022,1.019,9
1,8.002,1.017,0
2,8.853,1.018,1
3,9.268,1.018,2
4,7.602,1.018,3
5,11.974,1.019,4
6,10.428,1.022,5
7,10.853,1.022,6
8,10.144,1.016,7
9,12.111,1.022,8
10,10.766,1.020,9
1,10.791,1.017,0
2,6.975,1.015,1
3,9.459,1.018,2
4,9.256,1.022,3
5,9.630,1.023,4
6,12.281,1.021,5
7,8.848,1.015,6
8,13.505,1.027,7
9,10.033,1.025,8
10,9.222,1.016,9
1,10.136,1.024,0
2,8.631,1.016,1
3,10.921,1.029,2
4,8.551,1.018,3
5,9.826,1.021,4
6,9.437,1.020,5
7,9.115,1.017,6
8,9.775,1.016,7
9,10.855,1.019,8
10,12.754,1.024,9
1,9.097,1.018,0
2,10.187,1.018,1
3,9.457,1.013,2
4,11.135,1.024,3
5,8.955,1.021,4
6,11.219,1.020,5
7,9.681,1.014,6
8,11.023,1.019,7
9,11.533,1.022,8
10,7.713,1.012,9
1,10.027,1.018,0
2,10.888,1.023,1
3,9.208,1.017,2
4,9.910,1.025,3
5,10.504,1.019,4
6,9.576,1.020,5
7,10.165,1.020,6
8,10.261,1.015,7
9,10.315,1.024,8
10,9.146,1.021,9
1,8.996,1.023,0
2,8.705,1.017,1
3,7.056,1.012,2
4,9.536,1.015,3
5,10.572,1.020,4
6,10.044,1.023,5
7,8.831,1.019,6
8,12.091,1.022,7
9,11.574,1.025,8
10,12.596,1.019,9
1,9.654,1.022,0
2,8.769,1.017,1
3,7.572,1.017,2
4,8.956,1.020,3
5,11.161,1.021,4
6,8.436,1.015,5
7,11.371,1.018,6
8,12.799,1.022,7
9,10.665,1.021,8
10,10.618,1.021,9
1,7.110,1.018,0
2,10.328,1.022,1
3,10.886,1.022,2
4,7.481,1.019,3
5,10.197,1.016,4
6,11.428,1.022,5
7,13.615,1.024,6
8,10.093,1.013,7
9,9.377,1.017,8
10,9.484,1.013,9
1,9.120,1.017,0
2,5.838,1.016,1
3,10.113,1.026,2
4,9.828,1.016,3
5,10.288,1.015,4
6,8.842,1.019,5
7,9.981,1.020,6
8,8.266,1.019,7
9,13.542,1.022,8
10,14.183,1.022,9
1,12.783,1.022,0
2,10.454,1.019,1
3,8.875,1.012,2
4,10.534,1.020,3
5,8.699,1.021,4
6,10.556,1.022,5
7,8.291,1.018,6
