Account,Influence Score,Popularity,Bot Followers
1,4.672,1.020,0
2,5.321,1.019,10
3,5.617,1.022,20
4,9.208,1.029,30
5,8.667,1.021,40
6,9.537,1.026,50
7,13.849,1.038,60
8,15.607,1.028,70
9,14.587,1.042,80
10,12.936,1.032,90
1,4.732,1.020,0
2,5.713,1.018,10
3,6.515,1.024,20
4,8.434,1.025,30
5,7.127,1.024,40
6,11.897,1.047,50
7,12.001,1.037,60
8,14.690,1.036,70
9,14.541,1.039,80
10,14.350,1.037,90
1,4.117,1.018,0
2,5.975,1.027,10
3,7.720,1.024,20
4,6.922,1.020,30
5,10.347,1.035,40
6,9.410,1.027,50
7,10.270,1.033,60
8,12.564,1.035,70
9,15.258,1.037,80
10,17.418,1.046,90
1,5.708,1.017,0
2,4.487,1.017,10
3,7.328,1.018,20
4,7.493,1.023,30
5,8.602,1.026,40
6,9.619,1.027,50
7,13.047,1.030,60
8,11.964,1.033,70
9,15.974,1.046,80
10,15.778,1.036,90
1,4.437,1.016,0
2,7.963,1.021,10
3,6.468,1.025,20
4,9.936,1.023,30
5,7.591,1.024,40
6,9.301,1.028,50
7,11.624,1.033,60
8,13.386,1.038,70
9,14.340,1.046,80
10,14.954,1.026,90
1,5.364,1.023,0
2,6.136,1.020,10
3,7.736,1.035,20
4,6.964,1.023,30
5,9.590,1.026,40
6,12.077,1.027,50
7,12.722,1.043,60
8,11.651,1.031,70
9,14.652,1.041,80
10,13.109,1.030,90
1,5.650,1.023,0
2,4.766,1.022,10
3,8.776,1.023,20
4,7.742,1.020,30
5,8.330,1.024,40
6,8.288,1.016,50
7,10.609,1.028,60
8,12.477,1.032,70
9,15.684,1.038,80
10,17.678,1.042,90
1,5.617,1.018,0
2,5.087,1.028,10
3,7.576,1.024,20
4,8.365,1.026,30
5,9.158,1.020,40
6,11.478,1.030,50
7,11.060,1.024,60
8,12.532,1.029,70
9,15.023,1.034,80
10,14.104,1.035,90
1,5.354,1.019,0
2,5.297,1.018,10
3,6.998,1.018,20
4,7.973,1.022,30
5,8.172,1.028,40
6,10.448,1.024,50
7,10.010,1.025,60
8,13.530,1.049,70
9,16.123,1.041,80
10,16.095,1.039,90
1,4.642,1.017,0
2,5.312,1.020,10
3,6.624,1.023,20
4,8.667,1.024,30
5,8.588,1.025,40
6,10.096,1.029,50
7,11.520,1.034,60
8,10.913,1.031,70
9,14.428,1.045,80
10,19.209,1.033,90
1,5.301,1.019,0
2,5.445,1.020,10
3,7.632,1.028,20
4,7.932,1.024,30
5,9.822,1.028,40
6,13.858,1.041,50
7,11.271,1.031,60
8,11.655,1.031,70
9,11.740,1.038,80
10,15.344,1.047,90
1,6.236,1.025,0
2,6.119,1.020,10
3,5.813,1.022,20
4,5.599,1.020,30
5,9.166,1.026,40
6,9.340,1.031,50
7,13.653,1.039,60
8,13.622,1.033,70
9,12.697,1.028,80
10,17.754,1.042,90
1,4.852,1.016,0
2,4.359,1.026,10
3,6.993,1.028,20
4,7.351,1.024,30
5,9.434,1.026,40
6,8.952,1.028,50
7,12.344,1.039,60
8,14.401,1.036,70
9,15.127,1.035,80
10,16.187,1.050,90
1,4.278,1.020,0
2,4.724,1.023,10
3,10.460,1.033,20
4,7.440,1.031,30
5,7.075,1.023,40
6,9.765,1.028,50
7,11.327,1.032,60
8,11.597,1.035,70
9,13.341,1.040,80
10,19.995,1.057,90
1,4.773,1.014,0
2,5.315,1.021,10
3,5.492,1.019,20
4,8.074,1.032,30
5,8.871,1.029,40
6,7.703,1.028,50
7,11.954,1.034,60
8,16.100,1.056,70
9,13.629,1.035,80
10,18.087,1.053,90
1,5.860,1.022,0
2,5.181,1.020,10
3,5.182,1.019,20
4,7.921,1.028,30
5,10.839,1.033,40
6,12.001,1.030,50
7,10.156,1.028,60
8,13.383,1.035,70
9,12.683,1.027,80
10,16.793,1.041,90
1,4.642,1.020,0
2,5.964,1.024,10
3,7.053,1.018,20
4,6.044,1.020,30
5,8.894,1.028,40
6,9.373,1.021,50
7,12.431,1.046,60
8,11.509,1.027,70
9,16.151,1.042,80
10,17.937,1.050,90
1,4.289,1.016,0
2,5.154,1.019,10
3,6.566,1.019,20
4,7.537,1.037,30
5,10.056,1.032,40
6,10.522,1.039,50
7,11.854,1.041,60
8,12.565,1.029,70
9,16.439,1.042,80
10,15.020,1.039,90
1,4.941,1.021,0
2,4.949,1.021,10
3,6.329,1.019,20
4,8.271,1.030,30
5,9.402,1.023,40
6,8.518,1.032,50
7,11.806,1.027,60
8,15.564,1.046,70
9,14.418,1.036,80
10,15.803,1.037,90
1,4.957,1.016,0
2,6.470,1.022,10
3,7.237,1.021,20
4,8.685,1.032,30
5,10.910,1.025,40
6,10.641,1.022,50
7,11.519,1.025,60
8,11.772,1.023,70
9,13.306,1.041,80
10,14.501,1.030,90
1,4.434,1.017,0
2,5.635,1.021,10
3,9.080,1.024,20
4,8.005,1.025,30
5,11.274,1.029,40
6,8.091,1.028,50
7,9.647,1.032,60
8,12.369,1.039,70
9,15.004,1.041,80
10,16.461,1.042,90
1,6.032,1.019,0
2,5.037,1.018,10
3,5.936,1.021,20
4,8.421,1.027,30
5,9.109,1.023,40
6,9.392,1.025,50
7,12.258,1.027,60
8,11.349,1.040,70
9,12.765,1.038,80
10,19.702,1.054,90
1,6.411,1.027,0
2,5.687,1.017,10
3,6.383,1.025,20
4,6.958,1.023,30
5,10.564,1.029,40
6,8.405,1.031,50
7,12.574,1.028,60
8,13.212,1.031,70
9,13.396,1.038,80
10,16.410,1.040,90
1,4.347,1.018,0
2,4.452,1.016,10
3,5.932,1.018,20
4,7.683,1.029,30
5,8.180,1.022,40
6,9.393,1.026,50
7,11.987,1.037,60
8,14.193,1.041,70
9,16.267,1.045,80
10,17.566,1.047,90
1,5.382,1.020,0
2,5.215,1.020,10
3,5.927,1.016,20
4,6.845,1.018,30
5,8.930,1.029,40
6,11.406,1.030,50
7,10.053,1.027,60
8,14.615,1.038,70
9,16.687,1.056,80
10,14.940,1.035,90
1,4.510,1.017,0
2,5.170,1.017,10
3,8.583,1.028,20
4,7.897,1.024,30
5,10.536,1.033,40
6,10.608,1.026,50
7,13.066,1.036,60
8,11.407,1.036,70
9,14.409,1.032,80
10,13.814,1.033,90
1,5.014,1.025,0
2,7.126,1.023,10
3,7.131,1.028,20
4,7.381,1.019,30
5,9.654,1.027,40
6,11.665,1.037,50
7,10.860,1.026,60
8,13.949,1.047,70
9,13.155,1.036,80
10,14.065,1.041,90
1,6.123,1.028,0
2,7.022,1.025,10
3,6.771,1.025,20
4,7.821,1.026,30
5,7.417,1.019,40
6,9.447,1.026,50
7,10.646,1.035,60
8,12.577,1.037,70
9,18.344,1.048,80
10,13.832,1.033,90
1,5.380,1.017,0
2,5.151,1.015,10
3,5.821,1.018,20
4,7.811,1.029,30
5,11.535,1.026,40
6,11.752,1.036,50
7,10.507,1.031,60
8,13.732,1.032,70
9,12.942,1.038,80
10,15.368,1.034,90
1,4.552,1.017,0
2,6.603,1.021,10
3,5.965,1.027,20
4,7.265,1.025,30
5,8.220,1.019,40
6,10.638,1.032,50
7,13.732,1.032,60
8,11.859,1.033,70
9,15.290,1.045,80
10,15.876,1.042,90
1,4.890,1.023,0
2,5.867,1.020,10
3,6.371,1.022,20
4,7.452,1.027,30
5,10.589,1.036,40
6,9.830,1.025,50
7,12.347,1.033,60
8,13.838,1.037,70
9,13.743,1.042,80
10,15.072,1.032,90
1,5.091,1.020,0
2,6.144,1.022,10
3,6.147,1.024,20
4,9.118,1.023,30
5,8.058,1.027,40
6,9.713,1.030,50
7,9.686,1.024,60
8,14.674,1.038,70
9,14.252,1.033,80
10,17.117,1.033,90
1,4.752,1.019,0
2,4.577,1.019,10
3,6.247,1.023,20
4,8.729,1.030,30
5,8.377,1.023,40
6,9.549,1.025,50
7,12.772,1.043,60
8,12.309,1.032,70
9,17.277,1.036,80
10,15.412,1.041,90
1,4.882,1.019,0
2,6.368,1.016,10
3,5.711,1.019,20
4,8.118,1.026,30
5,8.526,1.027,40
6,9.732,1.022,50
7,13.019,1.036,60
8,14.888,1.058,70
9,15.836,1.048,80
10,12.921,1.035,90
1,4.865,1.019,0
2,5.257,1.017,10
3,6.491,1.022,20
4,7.405,1.027,30
5,7.636,1.028,40
6,10.911,1.030,50
7,10.999,1.036,60
8,12.845,1.033,70
9,15.734,1.043,80
10,17.855,1.041,90
1,5.378,1.017,0
2,4.917,1.015,10
3,7.069,1.018,20
4,7.708,1.022,30
5,8.803,1.024,40
6,9.137,1.026,50
7,12.241,1.031,60
8,13.802,1.036,70
9,14.850,1.035,80
10,16.096,1.042,90
1,4.066,1.017,0
2,4.022,1.018,10
3,7.178,1.021,20
4,6.737,1.018,30
5,9.721,1.028,40
6,10.075,1.027,50
7,11.498,1.028,60
8,16.620,1.035,70
9,12.743,1.027,80
10,17.341,1.037,90
1,6.499,1.025,0
2,5.028,1.017,10
3,6.119,1.026,20
4,8.798,1.026,30
5,10.449,1.035,40
6,13.241,1.039,50
7,9.979,1.024,60
8,13.165,1.030,70
9,12.905,1.040,80
10,13.817,1.043,90
