Account,Influence Score,Popularity,Bot Followers
1,5.029,1.018,0
2,6.684,1.024,10
3,6.328,1.025,20
4,8.409,1.022,30
5,10.023,1.031,40
6,8.444,1.025,50
7,12.113,1.035,60
8,12.972,1.031,70
9,14.677,1.041,80
10,15.320,1.035,90
1,4.490,1.013,0
2,5.251,1.021,10
3,5.964,1.023,20
4,6.841,1.025,30
5,8.160,1.023,40
6,11.333,1.028,50
7,11.534,1.035,60
8,15.573,1.037,70
9,15.629,1.040,80
10,15.224,1.036,90
1,4.285,1.016,0
2,5.400,1.022,10
3,5.533,1.020,20
4,8.488,1.031,30
5,13.209,1.037,40
6,8.937,1.025,50
7,9.360,1.028,60
8,13.275,1.038,70
9,19.163,1.049,80
10,12.350,1.030,90
1,4.514,1.013,0
2,6.224,1.028,10
3,5.465,1.020,20
4,8.388,1.024,30
5,8.836,1.026,40
6,9.792,1.026,50
7,10.190,1.029,60
8,16.070,1.033,70
9,14.020,1.038,80
10,16.501,1.035,90
1,5.450,1.024,0
2,5.049,1.020,10
3,6.417,1.024,20
4,7.029,1.026,30
5,11.194,1.033,40
6,10.656,1.026,50
7,12.803,1.040,60
8,12.189,1.037,70
9,14.818,1.046,80
10,14.394,1.041,90
1,6.084,1.024,0
2,5.161,1.021,10
3,5.029,1.019,20
4,7.791,1.028,30
5,11.287,1.034,40
6,10.206,1.030,50
7,11.181,1.023,60
8,12.357,1.039,70
9,15.516,1.034,80
10,15.387,1.048,90
1,4.268,1.018,0
2,6.445,1.021,10
3,5.478,1.018,20
4,8.405,1.028,30
5,10.342,1.029,40
6,10.323,1.026,50
7,12.735,1.027,60
8,14.535,1.038,70
9,14.302,1.032,80
10,13.168,1.037,90
1,4.400,1.017,0
2,5.352,1.023,10
3,6.848,1.030,20
4,9.945,1.025,30
5,8.632,1.025,40
6,10.560,1.038,50
7,11.337,1.030,60
8,11.886,1.034,70
9,13.044,1.034,80
10,17.995,1.048,90
1,3.715,1.015,0
2,5.081,1.014,10
3,6.943,1.026,20
4,9.249,1.032,30
5,6.595,1.013,40
6,12.306,1.033,50
7,9.279,1.033,60
8,12.869,1.037,70
9,14.754,1.047,80
10,19.209,1.049,90
1,4.248,1.020,0
2,6.119,1.023,10
3,7.522,1.021,20
4,8.512,1.023,30
5,9.004,1.024,40
6,10.438,1.025,50
7,8.505,1.026,60
8,13.151,1.032,70
9,15.161,1.037,80
10,17.340,1.046,90
1,6.020,1.022,0
2,5.463,1.020,10
3,5.241,1.023,20
4,6.548,1.022,30
5,10.031,1.035,40
6,10.553,1.026,50
7,11.443,1.034,60
8,10.571,1.023,70
9,16.222,1.047,80
10,17.908,1.047,90
1,7.333,1.020,0
2,6.314,1.030,10
3,7.535,1.016,20
4,8.999,1.022,30
5,10.310,1.030,40
6,10.267,1.034,50
7,9.766,1.030,60
8,11.632,1.025,70
9,13.669,1.021,80
10,14.174,1.032,90
