Account,Influence Score,Total Impressions,Total Engagements,Human Followers,Bot Followers,Tweets,Avg Tweet Quality,Avg Engagement Rate,Tweet Probability,Popularity Multiplier
3,9.544,473886,23203,1105,2,1000,0.100,0.050,1.000,1.025,2
4,9.167,455436,22286,1000,3,1000,0.100,0.050,1.000,1.019,3
5,7.447,371690,18104,838,4,1000,0.100,0.050,1.000,1.016,4
6,7.916,393914,19245,832,5,1000,0.100,0.050,1.000,1.012,5
7,8.489,422166,20638,972,6,1000,0.100,0.050,1.000,1.018,6
8,12.228,604036,29729,1384,7,1000,0.100,0.050,1.000,1.023,7
9,8.224,409502,19993,869,8,1000,0.100,0.050,1.000,1.015,8
10,11.724,579640,28504,1280,9,1000,0.100,0.050,1.000,1.014,9
1,7.691,384503,18755,817,0,1000,0.100,0.050,1.000,1.017,0
2,10.515,522219,25639,1209,1,1000,0.100,0.050,1.000,1.017,1
3,8.149,406801,19871,921,2,1000,0.100,0.050,1.000,1.016,2
4,8.781,437573,21411,1012,3,1000,0.100,0.050,1.000,1.016,3
5,11.863,588134,28927,1347,4,1000,0.100,0.050,1.000,1.027,4
6,10.002,497174,24389,1103,5,1000,0.100,0.050,1.000,1.017,5
7,10.807,536596,26353,1218,6,1000,0.100,0.050,1.000,1.023,6
8,11.128,552315,27134,1263,7,1000,0.100,0.050,1.000,1.015,7
9,10.945,543321,26689,1167,8,1000,0.100,0.050,1.000,1.019,8
10,10.119,503566,24674,1141,9,1000,0.100,0.050,1.000,1.021,9
1,7.786,384791,18775,871,0,1000,0.100,0.050,1.000,1.017,0
2,9.564,470638,23062,1106,1,1000,0.100,0.050,1.000,1.018,1
3,9.117,449515,21986,1004,2,1000,0.100,0.050,1.000,1.015,2
4,9.667,475696,23312,1105,3,1000,0.100,0.050,1.000,1.023,3
5,11.545,566417,27841,1334,4,1000,0.100,0.050,1.000,1.020,4
6,8.410,415156,20280,897,5,1000,0.100,0.050,1.000,1.016,5
7,10.446,513362,25189,1130,6,1000,0.100,0.050,1.000,1.021,6
8,10.754,528374,25933,1164,7,1000,0.100,0.050,1.000,1.018,7
9,11.294,554023,27235,1286,8,1000,0.100,0.050,1.000,1.019,8
10,11.418,560497,27533,1195,9,1000,0.100,0.050,1.000,1.021,9
1,8.936,430099,21038,944,0,1000,0.100,0.050,1.000,1.019,0
2,12.005,574892,28264,1342,1,1000,0.100,0.050,1.000,1.020,1
3,9.880,474914,23260,1070,2,1000,0.100,0.050,1.000,1.023,2
4,12.475,596674,29371,1362,3,1000,0.100,0.050,1.000,1.025,3
5,8.988,432943,21161,973,4,1000,0.100,0.050,1.000,1.019,4
6,9.580,460476,22555,1053,5,1000,0.100,0.050,1.000,1.023,5
7,8.376,403776,19720,857,6,1000,0.100,0.050,1.000,1.023,6
8,7.614,368156,17926,798,7,1000,0.100,0.050,1.000,1.017,7
9,12.953,619194,30495,1424,8,1000,0.100,0.050,1.000,1.017,8
10,9.192,442560,21640,942,9,1000,0.100,0.050,1.000,1.020,9
1,9.625,470780,23069,1132,0,1000,0.100,0.050,1.000,1.022,0
2,11.535,562016,27645,1318,1,1000,0.100,0.050,1.000,1.024,1
3,8.542,418766,20472,902,2,1000,0.100,0.050,1.000,1.017,2
4,11.799,575281,28279,1341,3,1000,0.100,0.050,1.000,1.017,3
5,13.199,642191,31633,1571,4,1000,0.100,0.050,1.000,1.031,4
6,9.900,483772,23727,1145,5,1000,0.100,0.050,1.000,1.020,5
7,8.576,419984,20553,961,6,1000,0.100,0.050,1.000,1.014,6
8,8.864,434183,21244,952,7,1000,0.100,0.050,1.000,1.015,7
