Account,Influence Score,Total Impressions,Total Engagements,Human Followers,Bot Followers,Tweets,Avg Tweet Quality,Avg Engagement Rate,Tweet Probability,Popularity Multiplier
7,12.775,629004,30972,1396,6,1000,0.100,0.050,1.000,1.022,6
8,8.727,432698,21159,926,7,1000,0.100,0.050,1.000,1.017,7
9,8.696,431333,21083,962,8,1000,0.100,0.050,1.000,1.016,8
10,9.601,474999,23278,1064,9,1000,0.100,0.050,1.000,1.019,9
1,8.169,381872,18633,892,0,1000,0.100,0.050,1.000,1.017,0
2,9.907,461418,22599,1142,1,1000,0.100,0.050,1.000,1.018,1
3,10.745,499846,24511,1177,2,1000,0.100,0.050,1.000,1.020,2
4,11.438,531197,26092,1214,3,1000,0.100,0.050,1.000,1.018,3
5,6.762,317914,15424,694,4,1000,0.100,0.050,1.000,1.018,4
6,11.381,528699,25961,1211,5,1000,0.100,0.050,1.000,1.022,5
7,11.221,521516,25595,1260,6,1000,0.100,0.050,1.000,1.017,6
8,11.225,521586,25604,1111,7,1000,0.100,0.050,1.000,1.021,7
9,9.114,425620,20789,949,8,1000,0.100,0.050,1.000,1.017,8
10,10.039,467608,22899,1028,9,1000,0.100,0.050,1.000,1.016,9
1,9.550,471034,23080,1047,0,1000,0.100,0.050,1.000,1.024,0
2,7.471,370536,18055,771,1,1000,0.100,0.050,1.000,1.017,1
3,14.001,686153,33837,1614,2,1000,0.100,0.050,1.000,1.028,2
4,9.209,454256,22256,1013,3,1000,0.100,0.050,1.000,1.017,3
5,8.121,402187,19627,853,4,1000,0.100,0.050,1.000,1.018,4
6,10.523,518425,25432,1251,5,1000,0.100,0.050,1.000,1.023,5
7,8.031,397751,19408,857,6,1000,0.100,0.050,1.000,1.021,6
8,11.785,579339,28482,1311,7,1000,0.100,0.050,1.000,1.022,7
9,9.066,447587,21909,1044,8,1000,0.100,0.050,1.000,1.019,8
10,12.243,601069,29588,1345,9,1000,0.100,0.050,1.000,1.022,9
1,8.637,388981,18973,924,0,1000,0.100,0.050,1.000,1.015,0
2,9.461,425208,20782,967,1,1000,0.100,0.050,1.000,1.017,1
3,11.713,524061,25729,1292,2,1000,0.100,0.050,1.000,1.019,2
4,8.892,400361,19532,883,3,1000,0.100,0.050,1.000,1.024,3
5,9.697,435686,21300,979,4,1000,0.100,0.050,1.000,1.019,4
6,12.575,561834,27623,1243,5,1000,0.100,0.050,1.000,1.019,5
7,10.226,458924,22463,1079,6,1000,0.100,0.050,1.000,1.018,6
8,8.455,380945,18573,832,7,1000,0.100,0.050,1.000,1.018,7
9,10.905,488880,23955,1100,8,1000,0.100,0.050,1.000,1.023,8
10,9.439,424408,20735,939,9,1000,0.100,0.050,1.000,1.021,9
1,10.407,524019,25730,1198,0,1000,0.100,0.050,1.000,1.023,0
2,8.421,425846,20821,929,1,1000,0.100,0.050,1.000,1.016,1
3,9.329,470964,23066,1089,2,1000,0.100,0.050,1.000,1.020,2
4,9.671,487707,23911,1075,3,1000,0.100,0.050,1.000,1.016,3
5,9.278,467939,22939,1071,4,1000,0.100,0.050,1.000,1.025,4
6,12.665,635999,31315,1489,5,1000,0.100,0.050,1.000,1.033,5
7,9.878,498173,24423,1140,6,1000,0.100,0.050,1.000,1.021,6
8,9.583,483651,23694,1138,7,1000,0.100,0.050,1.000,1.022,7
9,10.539,530550,26058,1187,8,1000,0.100,0.050,1.000,1.013,8
10,10.229,515237,25290,1179,9,1000,0.100,0.050,1.000,1.023,9
1,8.722,431213,21090,1032,0,1000,0.100,0.050,1.000,1.026,0
2,11.820,580723,28581,1352,1,1000,0.100,0.050,1.000,1.017,1
3,8.082,400538,19541,893,2,1000,0.100,0.050,1.000,1.017,2
4,8.403,416215,20319,942,3,1000,0.100,0.050,1.000,1.022,3
5,10.315,508396,24940,1147,4,1000,0.100,0.050,1.000,1.020,4
6,9.367,462352,22649,1079,5,1000,0.100,0.050,1.000,1.031,5
7,8.262,409247,19976,867,6,1000,0.100,0.050,1.000,1.017,6
8,12.333,605739,29821,1362,7,1000,0.100,0.050,1.000,1.020,7
9,11.008,541498,26616,1348,8,1000,0.100,0.050,1.000,1.021,8
10,11.688,574898,28261,1328,9,1000,0.100,0.050,1.000,1.022,9
1,11.633,497961,24429,1217,0,1000,0.100,0.050,1.000,1.026,0
2,10.732,460310,22538,1080,1,1000,0.100,0.050,1.000,1.018,1
3,9.457,406528,19859,896,2,1000,0.100,0.050,1.000,1.018,2
4,8.300,357986,17431,822,3,1000,0.100,0.050,1.000,1.015,3
5,9.524,409188,20000,940,4,1000,0.100,0.050,1.000,1.018,4
6,10.709,459615,22490,1038,5,1000,0.100,0.050,1.000,1.019,5
7,9.664,415702,20295,945,6,1000,0.100,0.050,1.000,1.013,6
8,11.917,510263,25025,1192,7,1000,0.100,0.050,1.000,1.020,7
9,8.938,384734,18771,844,8,1000,0.100,0.050,1.000,1.018,8
10,9.126,392702,19164,826,9,1000,0.100,0.050,1.000,1.014,9
1,8.062,382931,18689,856,0,1000,0.100,0.050,1.000,1.015,0
2,8.382,398439,19430,941,1,1000,0.100,0.050,1.000,1.021,1
3,8.538,405071,19792,906,2,1000,0.100,0.050,1.000,1.018,2
4,10.198,482307,23640,1139,3,1000,0.100,0.050,1.000,1.019,3
5,9.543,451901,22121,1028,4,1000,0.100,0.050,1.000,1.018,4
6,11.272,532076,26130,1209,5,1000,0.100,0.050,1.000,1.020,5
7,11.211,529438,25989,1229,6,1000,0.100,0.050,1.000,1.015,6
8,10.169,480749,23573,1126,7,1000,0.100,0.050,1.000,1.018,7
9,10.606,500944,24587,1227,8,1000,0.100,0.050,1.000,1.019,8
10,12.020,566800,27863,1287,9,1000,0.100,0.050,1.000,1.026,9
1,9.449,454055,22238,1041,0,1000,0.100,0.050,1.000,1.022,0
2,8.181,394391,19254,861,1,1000,0.100,0.050,1.000,1.021,1
3,7.984,385546,18789,894,2,1000,0.100,0.050,1.000,1.016,2
4,12.228,584964,28779,1315,3,1000,0.100,0.050,1.000,1.016,3
5,8.563,412897,20152,925,4,1000,0.100,0.050,1.000,1.021,4
6,11.669,558606,27463,1340,5,1000,0.100,0.050,1.000,1.022,5
7,9.438,453434,22213,986,6,1000,0.100,0.050,1.000,1.016,6
8,10.840,519222,25511,1157,7,1000,0.100,0.050,1.000,1.022,7
9,10.381,497945,24432,1173,8,1000,0.100,0.050,1.000,1.015,8
10,11.266,540076,26515,1248,9,1000,0.100,0.050,1.000,1.024,9
1,11.643,541588,26611,1339,0,1000,0.100,0.050,1.000,1.022,0
2,7.481,351540,17100,772,1,1000,0.100,0.050,1.000,1.017,1
3,9.968,465190,22784,1123,2,1000,0.100,0.050,1.000,1.025,2
4,10.410,485299,23793,1125,3,1000,0.100,0.050,1.000,1.017,3
5,12.091,562667,27636,1249,4,1000,0.100,0.050,1.000,1.021,4
6,11.336,527488,25909,1172,5,1000,0.100,0.050,1.000,1.017,5
7,9.053,423529,20693,884,6,1000,0.100,0.050,1.000,1.016,6
8,10.014,467313,22889,1025,7,1000,0.100,0.050,1.000,1.023,7
9,10.325,481484,23600,1130,8,1000,0.100,0.050,1.000,1.017,8
10,7.678,360461,17550,805,9,1000,0.100,0.050,1.000,1.018,9
1,8.854,404781,19792,912,0,1000,0.100,0.050,1.000,1.023,0
2,6.568,302744,14683,660,1,1000,0.100,0.050,1.000,1.015,1
3,10.549,481359,23580,1033,2,1000,0.100,0.050,1.000,1.023,2
4,9.071,414972,20277,898,3,1000,0.100,0.050,1.000,1.024,3
5,9.522,435288,21286,1027,4,1000,0.100,0.050,1.000,1.018,4
6,11.371,517651,25419,1196,5,1000,0.100,0.050,1.000,1.022,5
7,9.047,413873,20224,930,6,1000,0.100,0.050,1.000,1.015,6
8,13.871,629861,31006,1572,7,1000,0.100,0.050,1.000,1.027,7
9,8.641,395691,19316,846,8,1000,0.100,0.050,1.000,1.017,8
10,12.506,568519,27955,1376,9,1000,0.100,0.050,1.000,1.022,9
1,9.080,435979,21320,982,0,1000,0.100,0.050,1.000,1.016,0
2,9.581,459397,22496,1062,1,1000,0.100,0.050,1.000,1.025,1
3,8.180,393512,19208,854,2,1000,0.100,0.050,1.000,1.017,2
4,9.585,459289,22505,1035,3,1000,0.100,0.050,1.000,1.020,3
5,7.856,378375,18446,835,4,1000,0.100,0.050,1.000,1.015,4
6,9.029,433465,21201,985,5,1000,0.100,0.050,1.000,1.019,5
7,12.326,588384,28941,1297,6,1000,0.100,0.050,1.000,1.025,6
8,13.833,658900,32481,1630,7,1000,0.100,0.050,1.000,1.026,7
9,11.357,542805,26667,1198,8,1000,0.100,0.050,1.000,1.025,8
10,9.174,440028,21540,955,9,1000,0.100,0.050,1.000,1.019,9
1,7.190,346127,16821,804,0,1000,0.100,0.050,1.000,1.014,0
2,11.287,537647,26406,1234,1,1000,0.100,0.050,1.000,1.021,1
3,8.942,427507,20919,955,2,1000,0.100,0.050,1.000,1.017,2
4,12.263,583213,28690,1301,3,1000,0.100,0.050,1.000,1.019,3
5,10.234,488365,23943,1136,4,1000,0.100,0.050,1.000,1.021,4
6,9.469,452707,22152,1025,5,1000,0.100,0.050,1.000,1.017,5
7,8.165,391384,19102,820,6,1000,0.100,0.050,1.000,1.015,6
8,10.916,520390,25539,1184,7,1000,0.100,0.050,1.000,1.018,7
9,10.811,515581,25293,1165,8,1000,0.100,0.050,1.000,1.018,8
10,10.723,511553,25087,1133,9,1000,0.100,0.050,1.000,1.016,9
1,9.836,429491,21008,1050,0,1000,0.100,0.050,1.000,1.018,0
2,9.951,434350,21253,1049,1,1000,0.100,0.050,1.000,1.025,1
3,9.914,433083,21175,1067,2,1000,0.100,0.050,1.000,1.020,2
4,6.937,305902,14815,674,3,1000,0.100,0.050,1.000,1.014,3
5,9.826,429438,20986,954,4,1000,0.100,0.050,1.000,1.021,4
6,7.942,348642,16963,714,5,1000,0.100,0.050,1.000,1.018,5
7,11.262,490576,24052,1128,6,1000,0.100,0.050,1.000,1.025,6
8,10.385,453043,22180,1005,7,1000,0.100,0.050,1.000,1.015,7
9,12.059,524932,25756,1179,8,1000,0.100,0.050,1.000,1.024,8
10,11.888,517202,25389,1265,9,1000,0.100,0.050,1.000,1.021,9
1,10.970,543041,26685,1249,0,1000,0.100,0.050,1.000,1.024,0
2,8.893,441927,21632,975,1,1000,0.100,0.050,1.000,1.021,1
3,9.398,466474,22861,1124,2,1000,0.100,0.050,1.000,1.019,2
4,11.127,550439,27066,1293,3,1000,0.100,0.050,1.000,1.021,3
5,9.414,467831,22899,1075,4,1000,0.100,0.050,1.000,1.015,4
6,7.097,354584,17262,815,5,1000,0.100,0.050,1.000,1.016,5
7,11.689,578258,28434,1290,6,1000,0.100,0.050,1.000,1.021,6
8,9.640,478643,23448,1117,7,1000,0.100,0.050,1.000,1.021,7
9,8.672,431610,21095,964,8,1000,0.100,0.050,1.000,1.018,8
10,13.099,646956,31862,1511,9,1000,0.100,0.050,1.000,1.021,9
1,8.577,445038,21778,984,0,1000,0.100,0.050,1.000,1.017,0
2,7.773,404272,19737,938,1,1000,0.100,0.050,1.000,1.020,1
3,8.404,436543,21339,938,2,1000,0.100,0.050,1.000,1.015,2
4,5.927,310573,15050,646,3,1000,0.100,0.050,1.000,1.013,3
5,13.252,682439,33648,1565,4,1000,0.100,0.050,1.000,1.021,4
6,9.994,517233,25375,1151,5,1000,0.100,0.050,1.000,1.015,5
7,13.236,681555,33606,1608,6,1000,0.100,0.050,1.000,1.025,6
8,8.940,463500,22699,1054,7,1000,0.100,0.050,1.000,1.016,7
9,11.622,599906,29509,1380,8,1000,0.100,0.050,1.000,1.018,8
10,12.273,632563,31161,1452,9,1000,0.100,0.050,1.000,1.023,9
1,9.837,463531,22707,1051,0,1000,0.100,0.050,1.000,1.018,0
2,9.563,451010,22076,1040,1,1000,0.100,0.050,1.000,1.012,1
3,11.008,517731,25411,1208,2,1000,0.100,0.050,1.000,1.021,2
4,10.718,504281,24740,1158,3,1000,0.100,0.050,1.000,1.017,3
5,7.001,333021,16161,700,4,1000,0.100,0.050,1.000,1.014,4
6,10.583,498312,24429,1077,5,1000,0.100,0.050,1.000,1.020,5
7,9.529,449366,21996,1007,6,1000,0.100,0.050,1.000,1.019,6
8,12.020,564715,27746,1307,7,1000,0.100,0.050,1.000,1.028,7
9,10.091,475259,23293,1041,8,1000,0.100,0.050,1.000,1.016,8
10,9.651,455205,22278,1009,9,1000,0.100,0.050,1.000,1.016,9
1,9.023,426949,20883,952,0,1000,0.100,0.050,1.000,1.020,0
2,9.380,443543,21711,927,1,1000,0.100,0.050,1.000,1.021,1
3,11.204,527862,25932,1190,2,1000,0.100,0.050,1.000,1.014,2
4,10.134,478504,23455,1050,3,1000,0.100,0.050,1.000,1.020,3
5,10.220,483077,23653,1050,4,1000,0.100,0.050,1.000,1.020,4
6,10.232,483385,23682,1114,5,1000,0.100,0.050,1.000,1.021,5
7,11.609,546711,26870,1248,6,1000,0.100,0.050,1.000,1.021,6
8,9.316,441043,21562,986,7,1000,0.100,0.050,1.000,1.022,7
9,8.620,408601,19950,880,8,1000,0.100,0.050,1.000,1.019,8
10,10.262,484341,23751,1075,9,1000,0.100,0.050,1.000,1.018,9
1,9.349,441801,21616,966,0,1000,0.100,0.050,1.000,1.014,0
2,9.409,444250,21753,1038,1,1000,0.100,0.050,1.000,1.020,1
3,7.776,369134,17978,819,2,1000,0.100,0.050,1.000,1.016,2
4,9.875,466111,22831,1067,3,1000,0.100,0.050,1.000,1.017,3
5,8.553,405304,19774,897,4,1000,0.100,0.050,1.000,1.019,4
6,12.973,609286,29994,1458,5,1000,0.100,0.050,1.000,1.022,5
7,9.942,469288,22987,1045,6,1000,0.100,0.050,1.000,1.017,6
8,10.467,493598,24200,1160,7,1000,0.100,0.050,1.000,1.022,7
9,12.609,592733,29153,1411,8,1000,0.100,0.050,1.000,1.019,8
10,9.046,427622,20914,975,9,1000,0.100,0.050,1.000,1.024,9
1,10.355,467980,22943,1081,0,1000,0.100,0.050,1.000,1.019,0
2,8.413,382175,18640,874,1,1000,0.100,0.050,1.000,1.020,1
3,9.035,409830,20019,887,2,1000,0.100,0.050,1.000,1.019,2
4,11.201,505714,24818,1085,3,1000,0.100,0.050,1.000,1.023,3
5,9.280,420938,20561,993,4,1000,0.100,0.050,1.000,1.015,4
6,9.831,444932,21784,1020,5,1000,0.100,0.050,1.000,1.019,5
7,10.777,487206,23880,1033,6,1000,0.100,0.050,1.000,1.022,6
8,10.165,460063,22524,1033,7,1000,0.100,0.050,1.000,1.024,7
9,9.667,438182,21420,1001,8,1000,0.100,0.050,1.000,1.023,8
10,11.276,509392,24985,1155,9,1000,0.100,0.050,1.000,1.028,9
1,9.905,485374,23793,1128,0,1000,0.100,0.050,1.000,1.021,0
2,10.496,513770,25213,1162,1,1000,0.100,0.050,1.000,1.023,1
3,10.103,494731,24269,1206,2,1000,0.100,0.050,1.000,1.021,2
4,7.541,371824,18115,844,3,1000,0.100,0.050,1.000,1.020,3
5,13.729,669349,32979,1678,4,1000,0.100,0.050,1.000,1.024,4
6,10.978,536550,26370,1241,5,1000,0.100,0.050,1.000,1.027,5
7,7.486,369273,17982,832,6,1000,0.100,0.050,1.000,1.020,6
8,10.685,523010,25667,1183,7,1000,0.100,0.050,1.000,1.016,7
9,8.431,414299,20251,909,8,1000,0.100,0.050,1.000,1.013,8
10,10.644,520474,25567,1132,9,1000,0.100,0.050,1.000,1.025,9
1,8.730,394152,19241,956,0,1000,0.100,0.050,1.000,1.023,0
2,9.864,444525,21742,988,1,1000,0.100,0.050,1.000,1.016,1
3,10.563,474841,23283,1121,2,1000,0.100,0.050,1.000,1.023,2
4,8.268,373760,18223,818,3,1000,0.100,0.050,1.000,1.019,3
5,9.723,437949,21431,1057,4,1000,0.100,0.050,1.000,1.014,4
6,11.810,530051,26031,1167,5,1000,0.100,0.050,1.000,1.025,5
7,11.632,522313,25639,1160,6,1000,0.100,0.050,1.000,1.017,6
8,10.312,464094,22729,1017,7,1000,0.100,0.050,1.000,1.020,7
9,11.137,500700,24548,1167,8,1000,0.100,0.050,1.000,1.024,8
10,7.960,360531,17544,759,9,1000,0.100,0.050,1.000,1.019,9
1,5.517,288316,13946,594,0,1000,0.100,0.050,1.000,1.012,0
2,10.476,538866,26481,1243,1,1000,0.100,0.050,1.000,1.025,1
3,9.989,514718,25248,1213,2,1000,0.100,0.050,1.000,1.027,2
4,11.403,586165,28824,1386,3,1000,0.100,0.050,1.000,1.025,3
5,9.686,498881,24483,1087,4,1000,0.100,0.050,1.000,1.027,4
6,11.985,615076,30293,1426,5,1000,0.100,0.050,1.000,1.023,5
7,8.129,420474,20547,923,6,1000,0.100,0.050,1.000,1.021,6
8,10.380,534289,26238,1212,7,1000,0.100,0.050,1.000,1.016,7
9,11.829,607369,29901,1409,8,1000,0.100,0.050,1.000,1.021,8
10,10.605,545743,26806,1229,9,1000,0.100,0.050,1.000,1.023,9
1,8.952,451581,22101,1033,0,1000,0.100,0.050,1.000,1.017,0
2,9.961,501235,24591,1138,1,1000,0.100,0.050,1.000,1.019,1
3,11.866,595357,29296,1356,2,1000,0.100,0.050,1.000,1.032,2
4,8.443,426629,20843,919,3,1000,0.100,0.050,1.000,1.020,3
5,11.421,573272,28197,1344,4,1000,0.100,0.050,1.000,1.022,4
6,7.836,396570,19345,876,5,1000,0.100,0.050,1.000,1.020,5
7,12.417,622377,30654,1423,6,1000,0.100,0.050,1.000,1.022,6
8,9.582,482231,23656,1125,7,1000,0.100,0.050,1.000,1.023,7
9,11.407,572696,28162,1276,8,1000,0.100,0.050,1.000,1.016,8
10,8.115,410601,20035,868,9,1000,0.100,0.050,1.000,1.019,9
1,9.377,469193,22996,1074,0,1000,0.100,0.050,1.000,1.016,0
2,11.538,575459,28297,1270,1,1000,0.100,0.050,1.000,1.019,1
3,8.941,448109,21928,1015,2,1000,0.100,0.050,1.000,1.018,2
4,11.052,552231,27104,1257,3,1000,0.100,0.050,1.000,1.019,3
5,9.147,458279,22432,1111,4,1000,0.100,0.050,1.000,1.024,4
6,9.341,467384,22909,1058,5,1000,0.100,0.050,1.000,1.018,5
7,10.334,516266,25344,1183,6,1000,0.100,0.050,1.000,1.022,6
8,8.981,449990,22027,942,7,1000,0.100,0.050,1.000,1.019,7
9,11.608,579077,28468,1379,8,1000,0.100,0.050,1.000,1.026,8
10,9.682,484365,23745,1022,9,1000,0.100,0.050,1.000,1.014,9
1,8.152,410769,20066,932,0,1000,0.100,0.050,1.000,1.024,0
2,8.535,429412,21010,1021,1,1000,0.100,0.050,1.000,1.021,1
3,11.151,558771,27450,1335,2,1000,0.100,0.050,1.000,1.024,2
4,9.246,464409,22760,1053,3,1000,0.100,0.050,1.000,1.020,3
5,9.705,487378,23890,1086,4,1000,0.100,0.050,1.000,1.020,4
6,10.478,525497,25792,1206,5,1000,0.100,0.050,1.000,1.019,5
7,9.017,453237,22197,1026,6,1000,0.100,0.050,1.000,1.015,6
8,9.477,476126,23329,1052,7,1000,0.100,0.050,1.000,1.021,7
9,12.573,628058,30948,1484,8,1000,0.100,0.050,1.000,1.020,8
10,11.665,583920,28714,1273,9,1000,0.100,0.050,1.000,1.029,9
1,8.832,421713,20611,985,0,1000,0.100,0.050,1.000,1.020,0
2,10.709,509334,24993,1122,1,1000,0.100,0.050,1.000,1.021,1
3,11.014,523154,25704,1240,2,1000,0.100,0.050,1.000,1.022,2
4,8.598,410717,20066,939,3,1000,0.100,0.050,1.000,1.023,3
5,10.698,508761,24967,1176,4,1000,0.100,0.050,1.000,1.021,4
6,7.458,357611,17404,797,5,1000,0.100,0.050,1.000,1.012,5
7,11.836,561650,27622,1282,6,1000,0.100,0.050,1.000,1.020,6
8,10.895,517666,25426,1117,7,1000,0.100,0.050,1.000,1.023,7
9,11.266,535246,26292,1236,8,1000,0.100,0.050,1.000,1.017,8
10,8.694,415546,20289,913,9,1000,0.100,0.050,1.000,1.022,9
1,8.606,433816,21203,993,0,1000,0.100,0.050,1.000,1.021,0
2,9.687,486762,23867,1202,1,1000,0.100,0.050,1.000,1.022,1
3,9.450,474990,23284,1106,2,1000,0.100,0.050,1.000,1.018,2
4,8.907,448302,21946,1063,3,1000,0.100,0.050,1.000,1.014,3
5,8.071,407132,19886,926,4,1000,0.100,0.050,1.000,1.019,4
6,11.710,586529,28851,1260,5,1000,0.100,0.050,1.000,1.022,5
7,11.217,562204,27636,1323,6,1000,0.100,0.050,1.000,1.030,6
8,11.093,556020,27330,1247,7,1000,0.100,0.050,1.000,1.014,7
9,10.562,530084,26022,1221,8,1000,0.100,0.050,1.000,1.021,8
10,10.697,536655,26354,1227,9,1000,0.100,0.050,1.000,1.023,9
1,8.291,392309,19144,880,0,1000,0.100,0.050,1.000,1.014,0
2,10.820,509404,24983,1143,1,1000,0.100,0.050,1.000,1.023,1
3,11.779,553405,27196,1344,2,1000,0.100,0.050,1.000,1.024,2
4,9.682,456646,22355,1048,3,1000,0.100,0.050,1.000,1.019,3
5,7.684,364339,17741,785,4,1000,0.100,0.050,1.000,1.017,4
6,9.367,441897,21628,1044,5,1000,0.100,0.050,1.000,1.020,5
7,10.371,488338,23946,1034,6,1000,0.100,0.050,1.000,1.020,6
8,10.231,481833,23622,1115,7,1000,0.100,0.050,1.000,1.019,7
9,10.229,481680,23618,1096,8,1000,0.100,0.050,1.000,1.016,8
10,11.546,542520,26660,1231,9,1000,0.100,0.050,1.000,1.020,9
1,10.250,487291,23890,1098,0,1000,0.100,0.050,1.000,1.020,0
2,8.482,404970,19771,980,1,1000,0.100,0.050,1.000,1.019,1
3,8.274,395203,19285,941,2,1000,0.100,0.050,1.000,1.024,2
4,11.055,524963,25766,1166,3,1000,0.100,0.050,1.000,1.019,3
5,10.672,506944,24875,1177,4,1000,0.100,0.050,1.000,1.023,4
6,9.167,437034,21366,904,5,1000,0.100,0.050,1.000,1.019,5
7,8.119,387735,18923,835,6,1000,0.100,0.050,1.000,1.014,6
8,9.597,456664,22368,1023,7,1000,0.100,0.050,1.000,1.016,7
9,12.157,576327,28336,1304,8,1000,0.100,0.050,1.000,1.025,8
10,12.228,579069,28500,1326,9,1000,0.100,0.050,1.000,1.029,9
1,7.933,415758,20319,922,0,1000,0.100,0.050,1.000,1.020,0
2,9.093,474945,23290,1110,1,1000,0.100,0.050,1.000,1.020,1
3,11.398,593271,29192,1376,2,1000,0.100,0.050,1.000,1.022,2
4,10.219,532899,26174,1213,3,1000,0.100,0.050,1.000,1.016,3
5,6.291,331687,16114,714,4,1000,0.100,0.050,1.000,1.015,4
6,11.647,606357,29831,1387,5,1000,0.100,0.050,1.000,1.026,5
7,11.067,576522,28345,1365,6,1000,0.100,0.050,1.000,1.019,6
8,10.397,541960,26629,1263,7,1000,0.100,0.050,1.000,1.021,7
9,11.844,616345,30336,1365,8,1000,0.100,0.050,1.000,1.022,8
10,10.110,527708,25894,1274,9,1000,0.100,0.050,1.000,1.025,9
1,9.879,468165,22941,1042,0,1000,0.100,0.050,1.000,1.023,0
2,9.234,438432,21445,986,1,1000,0.100,0.050,1.000,1.015,1
3,8.496,404252,19731,895,2,1000,0.100,0.050,1.000,1.017,2
4,10.692,506050,24830,1232,3,1000,0.100,0.050,1.000,1.022,3
5,9.813,465429,22788,1028,4,1000,0.100,0.050,1.000,1.019,4
6,10.394,492804,24138,1076,5,1000,0.100,0.050,1.000,1.019,5
7,10.505,497712,24397,1127,6,1000,0.100,0.050,1.000,1.021,6
8,10.462,495413,24297,1136,7,1000,0.100,0.050,1.000,1.023,7
9,12.535,591708,29111,1297,8,1000,0.100,0.050,1.000,1.022,8
10,7.989,380447,18553,814,9,1000,0.100,0.050,1.000,1.022,9
1,8.606,426665,20856,1019,0,1000,0.100,0.050,1.000,1.017,0
2,10.316,509427,25000,1168,1,1000,0.100,0.050,1.000,1.014,1
3,8.993,445583,21794,1040,2,1000,0.100,0.050,1.000,1.018,2
4,12.508,615612,30311,1427,3,1000,0.100,0.050,1.000,1.027,3
5,7.531,374509,18251,795,4,1000,0.100,0.050,1.000,1.017,4
6,9.669,478233,23432,1024,5,1000,0.100,0.050,1.000,1.023,5
7,10.535,520294,25530,1219,6,1000,0.100,0.050,1.000,1.020,6
8,10.248,506130,24834,1149,7,1000,0.100,0.050,1.000,1.018,7
9,11.974,589910,29018,1399,8,1000,0.100,0.050,1.000,1.022,8
10,9.619,475969,23311,1121,9,1000,0.100,0.050,1.000,1.019,9
1,7.474,351297,17100,743,0,1000,0.100,0.050,1.000,1.014,0
2,9.775,456707,22366,1054,1,1000,0.100,0.050,1.000,1.016,1
3,9.355,437558,21403,980,2,1000,0.100,0.050,1.000,1.026,2
4,11.205,522466,25636,1290,3,1000,0.100,0.050,1.000,1.023,3
5,9.932,463908,22724,1029,4,1000,0.100,0.050,1.000,1.023,4
6,9.725,454432,22250,1004,5,1000,0.100,0.050,1.000,1.016,5
7,11.571,538913,26475,1298,6,1000,0.100,0.050,1.000,1.027,6
8,10.850,505998,24824,1131,7,1000,0.100,0.050,1.000,1.018,7
9,8.640,404724,19769,911,8,1000,0.100,0.050,1.000,1.024,8
10,11.473,534301,26251,1178,9,1000,0.100,0.050,1.000,1.025,9
1,7.885,380307,18538,881,0,1000,0.100,0.050,1.000,1.015,0
2,7.783,375361,18297,836,1,1000,0.100,0.050,1.000,1.023,1
3,10.415,499210,24486,1108,2,1000,0.100,0.050,1.000,1.015,2
4,10.687,511777,25124,1160,3,1000,0.100,0.050,1.000,1.021,3
5,10.332,495459,24290,1140,4,1000,0.100,0.050,1.000,1.019,4
6,9.925,475894,23332,1149,5,1000,0.100,0.050,1.000,1.019,5
7,10.202,489291,23984,1190,6,1000,0.100,0.050,1.000,1.018,6
8,8.300,399756,19513,878,7,1000,0.100,0.050,1.000,1.020,7
9,10.849,519739,25505,1136,8,1000,0.100,0.050,1.000,1.020,8
10,13.621,649850,32023,1489,9,1000,0.100,0.050,1.000,1.023,9
1,9.878,492179,24142,1080,0,1000,0.100,0.050,1.000,1.014,0
2,9.828,489518,24020,1143,1,1000,0.100,0.050,1.000,1.021,1
3,8.504,425189,20785,980,2,1000,0.100,0.050,1.000,1.018,2
4,9.394,468662,22960,1019,3,1000,0.100,0.050,1.000,1.013,3
5,11.473,570229,28040,1315,4,1000,0.100,0.050,1.000,1.029,4
6,9.348,466541,22847,1024,5,1000,0.100,0.050,1.000,1.018,5
7,9.651,481440,23587,1104,6,1000,0.100,0.050,1.000,1.023,6
8,11.510,572258,28131,1331,7,1000,0.100,0.050,1.000,1.016,7
9,10.471,521340,25591,1184,8,1000,0.100,0.050,1.000,1.023,8
10,9.944,495518,24305,1085,9,1000,0.100,0.050,1.000,1.023,9
1,11.093,535030,26283,1258,0,1000,0.100,0.050,1.000,1.019,0
2,11.143,537289,26402,1209,1,1000,0.100,0.050,1.000,1.019,1
3,7.860,381778,18624,874,2,1000,0.100,0.050,1.000,1.015,2
4,11.067,534188,26221,1235,3,1000,0.100,0.050,1.000,1.024,3
5,9.245,447706,21904,1064,4,1000,0.100,0.050,1.000,1.025,4
6,8.494,412328,20126,878,5,1000,0.100,0.050,1.000,1.020,5
7,10.496,506941,24868,1205,6,1000,0.100,0.050,1.000,1.022,6
8,9.110,441323,21585,965,7,1000,0.100,0.050,1.000,1.017,7
9,10.223,494043,24223,1171,8,1000,0.100,0.050,1.000,1.018,8
10,11.269,543468,26701,1204,9,1000,0.100,0.050,1.000,1.018,9
1,8.880,408189,19945,992,0,1000,0.100,0.050,1.000,1.018,0
2,7.851,362070,17635,844,1,1000,0.100,0.050,1.000,1.016,1
3,10.261,470315,23047,1047,2,1000,0.100,0.050,1.000,1.015,2
4,7.959,367131,17877,786,3,1000,0.100,0.050,1.000,1.014,3
5,9.144,420394,20539,1026,4,1000,0.100,0.050,1.000,1.023,4
