1,0.667,1.024,0
2,2.384,1.048,100
3,4.236,1.091,200
4,6.014,1.111,300
5,8.629,1.130,400
6,9.141,1.141,500
7,10.728,1.190,600
8,17.633,1.308,700
9,17.030,1.292,800
10,23.538,1.370,900
1,0.842,1.029,0
2,2.578,1.044,100
3,3.814,1.065,200
4,6.066,1.094,300
5,8.823,1.136,400
6,8.342,1.117,500
7,16.795,1.277,600
8,14.067,1.201,700
9,20.129,1.314,800
10,18.545,1.288,900
1,0.776,1.023,0
2,2.777,1.046,100
3,3.886,1.058,200
4,8.157,1.126,300
5,7.154,1.110,400
6,10.294,1.169,500
7,12.940,1.215,600
8,12.288,1.183,700
9,17.210,1.262,800
10,24.518,1.426,900
1,0.601,1.020,0
2,1.901,1.041,100
3,4.529,1.073,200
4,6.418,1.098,300
5,8.021,1.135,400
6,11.854,1.205,500
7,12.262,1.192,600
8,15.527,1.229,700
9,18.824,1.294,800
10,20.063,1.305,900
1,0.565,1.016,0
2,2.411,1.052,100
3,3.214,1.055,200
4,6.427,1.083,300
5,9.161,1.138,400
6,10.301,1.165,500
7,13.915,1.209,600
8,12.744,1.187,700
9,16.919,1.268,800
10,24.343,1.415,900
1,0.623,1.019,0
2,1.862,1.030,100
3,3.907,1.086,200
4,4.513,1.079,300
5,8.455,1.147,400
6,9.386,1.157,500
7,12.550,1.246,600
8,16.003,1.297,700
9,22.924,1.444,800
10,19.776,1.360,900
1,0.561,1.020,0
2,2.496,1.045,100
3,3.661,1.077,200
4,6.868,1.123,300
5,9.802,1.195,400
6,8.966,1.175,500
7,13.704,1.270,600
8,13.505,1.246,700
9,17.370,1.339,800
10,23.065,1.447,900
1,0.698,1.016,0
2,2.856,1.052,100
3,3.770,1.053,200
4,5.484,1.065,300
5,7.990,1.138,400
6,11.702,1.150,500
7,13.212,1.211,600
8,16.164,1.255,700
9,17.249,1.238,800
10,20.874,1.332,900
1,0.623,1.016,0
2,2.232,1.047,100
3,4.295,1.083,200
4,5.759,1.095,300
5,6.612,1.119,400
6,9.862,1.175,500
7,14.848,1.260,600
8,14.994,1.293,700
9,23.649,1.433,800
10,17.124,1.292,900
1,0.697,1.021,0
2,1.885,1.036,100
3,4.741,1.093,200
4,5.796,1.086,300
5,8.973,1.137,400
6,11.222,1.169,500
7,16.932,1.282,600
8,16.108,1.270,700
9,18.569,1.291,800
10,15.078,1.225,900
1,0.552,1.022,0
2,2.336,1.057,100
3,3.617,1.054,200
4,5.106,1.100,300
5,7.400,1.132,400
6,9.371,1.167,500
7,11.093,1.191,600
8,20.110,1.412,700
9,20.198,1.418,800
10,20.216,1.366,900
1,0.609,1.016,0
2,2.394,1.047,100
3,4.872,1.110,200
4,5.791,1.112,300
5,8.073,1.137,400
6,11.452,1.182,500
7,12.539,1.227,600
8,14.661,1.255,700
9,19.793,1.328,800
10,19.815,1.354,900
1,0.443,1.020,0
2,2.446,1.043,100
3,4.063,1.087,200
4,6.566,1.110,300
5,8.084,1.152,400
6,9.440,1.187,500
7,10.662,1.199,600
8,14.154,1.260,700
9,22.085,1.455,800
10,22.056,1.442,900
1,0.636,1.025,0
2,2.489,1.043,100
3,4.066,1.060,200
4,5.325,1.084,300
5,8.497,1.124,400
6,10.098,1.161,500
7,14.440,1.229,600
8,15.898,1.236,700
9,19.156,1.256,800
10,19.394,1.278,900
1,0.717,1.014,0
2,2.292,1.040,100
3,4.489,1.075,200
4,5.384,1.086,300
5,6.806,1.119,400
6,9.365,1.163,500
7,15.780,1.307,600
8,12.382,1.170,700
9,15.457,1.264,800
10,27.327,1.476,900
1,0.762,1.025,0
2,2.246,1.040,100
3,3.465,1.060,200
4,4.442,1.074,300
5,10.123,1.197,400
6,9.092,1.160,500
7,12.487,1.240,600
8,14.259,1.242,700
9,24.479,1.523,800
10,18.645,1.332,900
1,0.505,1.018,0
2,2.060,1.046,100
3,4.678,1.087,200
4,5.768,1.089,300
5,7.308,1.112,400
6,13.652,1.227,500
7,11.473,1.164,600
8,12.915,1.205,700
9,21.902,1.336,800
10,19.740,1.339,900
1,0.702,1.023,0
2,2.232,1.039,100
3,3.620,1.060,200
4,5.914,1.094,300
5,8.784,1.143,400
6,9.798,1.140,500
7,11.557,1.189,600
8,16.665,1.265,700
9,14.598,1.205,800
10,26.130,1.410,900
